case,activity,time,duration,resource
197,b,08:59,0.34,R4
198,a,08:52,0.15,R3
198,d,09:01,0.66,R1
198,b,09:41,0.23,R4
199,a,08:26,0.07,R4
199,d,08:30,0.84,R1
199,b,09:21,0.14,R3
200,a,08:15,0.45,R3
200,c,08:42,0.68,R2
200,b,09:23,0.17,R4
201,a,08:11,0.34,R3
201,c,08:32,0.77,R2
201,b,09:19,0.19,R4
202,a,08:01,0.22,R3
202,d,08:14,0.78,R1
202,b,09:01,0.06,R4
203,a,08:00,0.32,R3
203,c,08:20,0.88,R2
203,b,09:13,0.35,R3
204,a,08:16,0.12,R4
204,c,08:24,0.74,R2
204,b,09:08,0.1,R3
205,a,08:59,0.44,R4
205,c,09:26,0.61,R2
205,b,10:03,0.23,R4
206,a,08:10,0.28,R3
206,c,08:27,0.86,R2
206,b,09:19,0.46,R4
207,a,08:03,0.16,R4
207,c,08:12,0.66,R2
207,b,08:53,0.31,R3
208,a,08:04,0.16,R3
208,d,08:14,0.7,R1
208,b,08:56,0.4,R3
209,a,08:16,0.49,R3
209,c,08:45,0.91,R2
209,b,09:40,0.44,R3
210,a,08:06,0.05,R4
210,d,08:10,0.61,R1
210,b,08:46,0.02,R3
211,a,09:35,0.4,R4
211,c,09:59,0.67,R2
211,b,10:40,0.13,R4
212,a,08:26,0.42,R4
212,c,08:52,0.76,R2
212,b,09:38,0.14,R3
213,a,08:13,0.42,R3
213,d,08:38,0.69,R1
213,b,09:20,0.43,R3
214,a,08:01,0.15,R4
214,c,08:10,0.94,R2
214,b,09:07,0.38,R3
215,a,08:15,0.38,R4
215,d,08:38,0.61,R1
215,b,09:15,0.15,R4
216,a,08:02,0.08,R3
216,c,08:07,0.9,R2
216,b,09:01,0.28,R4
217,a,08:53,0.43,R3
217,c,09:19,0.69,R2
217,b,10:00,0.38,R3
218,a,08:02,0.28,R4
218,c,08:19,0.73,R2
218,b,09:03,0.34,R3
219,a,08:43,0.21,R4
219,d,08:56,0.92,R1
219,b,09:52,0.32,R4
220,a,08:16,0.25,R3
220,d,08:32,0.54,R1
220,b,09:04,0.44,R4
221,a,08:49,0.36,R4
221,d,09:10,0.95,R1
221,b,10:08,0.29,R3
222,a,08:05,0.09,R3
222,d,08:10,0.74,R1
222,b,08:54,0.26,R4
223,a,08:52,0.15,R3
223,c,09:01,0.82,R2
223,b,09:51,0.2,R3
224,a,08:43,0.32,R3
224,c,09:02,0.59,R2
224,b,09:38,0.26,R3
225,a,08:08,0.26,R3
225,c,08:24,0.83,R2
225,b,09:15,0.09,R4
226,a,08:09,0.3,R3
226,c,08:27,0.91,R2
226,b,09:23,0.23,R4
227,a,09:04,0.23,R4
227,c,09:17,0.73,R2
227,b,10:02,0.49,R3
228,a,08:18,0.15,R4
228,c,08:27,0.87,R2
228,b,09:20,0.22,R3
229,a,08:20,0.14,R3
229,d,08:28,0.5,R1
229,b,08:58,0.13,R3
230,a,09:03,0.29,R4
230,d,09:20,0.62,R1
230,b,09:58,0.07,R3
231,a,08:34,0.26,R3
231,c,08:49,0.76,R2
231,b,09:36,0.12,R3
232,a,08:07,0.11,R4
232,c,08:14,0.95,R2
232,b,09:12,0.15,R4
233,a,08:02,0.09,R4
233,d,08:08,0.54,R1
233,b,08:41,0.04,R3
234,a,08:31,0.07,R3
234,d,08:35,0.51,R1
234,b,09:06,0.08,R4
235,a,08:10,0.22,R4
235,d,08:23,0.69,R1
235,b,09:05,0.11,R4
236,a,08:30,0.21,R3
236,c,08:43,0.71,R2
236,b,09:26,0.21,R4
237,a,09:10,0.36,R4
237,d,09:32,0.6,R1
237,b,10:08,0.2,R4
238,a,08:43,0.46,R3
238,d,09:11,0.76,R1
238,b,09:57,0.1,R4
239,a,08:03,0.29,R4
239,d,08:21,0.89,R1
239,b,09:15,0.14,R4
240,a,08:03,0.16,R3
240,d,08:13,0.86,R1
240,b,09:05,0.06,R3
241,a,08:40,0.33,R3
241,c,09:00,0.87,R2
241,b,09:53,0.26,R3
242,a,08:01,0.29,R4
242,c,08:19,0.88,R2
242,b,09:13,0.16,R3
243,a,08:42,0.21,R3
243,c,08:54,0.5,R2
243,b,09:25,0.47,R3
244,a,08:05,0.16,R4
244,c,08:15,0.63,R2
244,b,08:53,0.15,R4
245,a,08:01,0.28,R4
245,d,08:18,0.84,R1
245,b,09:09,0.41,R3
246,a,08:25,0.2,R3
246,d,08:37,0.7,R1
246,b,09:19,0.37,R4
247,a,08:06,0.16,R3
247,d,08:16,0.55,R1
247,b,08:49,0.16,R3
248,a,09:14,0.23,R3
248,d,09:28,0.91,R1
248,b,10:23,0.3,R3
249,a,08:27,0.4,R4
249,c,08:51,0.51,R2
249,b,09:23,0.03,R3
250,a,08:03,0.04,R3
250,d,08:05,0.73,R1
250,b,08:49,0.38,R4
251,a,08:36,0.05,R3
251,c,08:39,0.94,R2
251,b,09:35,0.41,R4
252,a,08:16,0.06,R4
252,c,08:19,0.63,R2
252,b,08:57,0.12,R3
253,a,08:37,0.49,R3
253,c,09:06,0.52,R2
253,b,09:38,0.19,R3
254,a,08:07,0.26,R3
254,d,08:23,0.61,R1
254,b,09:00,0.21,R4
255,a,08:28,0.32,R3
255,d,08:47,0.75,R1
255,b,09:33,0.38,R4
256,a,08:33,0.15,R3
256,d,08:42,0.88,R1
256,b,09:36,0.1,R4
257,a,09:27,0.34,R4
257,c,09:48,0.91,R2
257,b,10:44,0.21,R4
258,a,08:30,0.24,R4
258,d,08:45,0.74,R1
258,b,09:30,0.48,R3
259,a,09:03,0.32,R4
259,c,09:22,0.53,R2
259,b,09:54,0.12,R3
260,a,08:20,0.12,R4
260,d,08:27,0.9,R1
260,b,09:21,0.35,R3
261,a,08:49,0.08,R4
261,c,08:54,0.71,R2
261,b,09:37,0.07,R3
262,a,08:01,0.09,R3
262,d,08:06,0.82,R1
262,b,08:56,0.07,R4
263,a,08:04,0.33,R4
263,c,08:24,0.69,R2
263,b,09:05,0.22,R4
264,a,08:52,0.1,R3
264,c,08:58,0.76,R2
264,b,09:44,0.05,R4
265,a,08:15,0.4,R3
265,c,08:39,0.61,R2
265,b,09:16,0.05,R3
266,a,08:09,0.22,R4
266,d,08:22,0.66,R1
266,b,09:03,0.48,R4
267,a,08:36,0.12,R3
267,d,08:43,0.97,R1
267,b,09:42,0.03,R4
268,a,08:27,0.41,R4
268,c,08:52,0.66,R2
268,b,09:32,0.05,R4
269,a,08:16,0.43,R4
269,d,08:42,0.96,R1
269,b,09:40,0.09,R3
270,a,08:30,0.37,R3
270,d,08:52,0.73,R1
270,b,09:36,0.25,R4
271,a,08:12,0.4,R4
271,d,08:36,0.75,R1
271,b,09:22,0.04,R3
272,a,08:46,0.34,R4
272,d,09:06,0.71,R1
272,b,09:49,0.21,R4
273,a,08:43,0.34,R3
273,c,09:04,0.69,R2
273,b,09:46,0.44,R3
274,a,08:10,0.05,R4
274,d,08:14,0.74,R1
274,b,08:59,0.15,R4
275,a,08:58,0.46,R3
275,c,09:26,0.82,R2
275,b,10:16,0.46,R3
276,a,09:02,0.19,R3
276,c,09:13,0.54,R2
276,b,09:46,0.35,R3
277,a,08:11,0.17,R3
277,d,08:21,0.95,R1
277,b,09:19,0.41,R3
278,a,08:15,0.08,R3
278,c,08:20,0.89,R2
278,b,09:14,0.43,R3
279,a,08:59,0.08,R4
279,d,09:03,0.69,R1
279,b,09:45,0.21,R4
280,a,09:34,0.41,R4
280,d,09:58,0.5,R1
280,b,10:29,0.23,R4
281,a,08:37,0.05,R4
281,c,08:40,0.99,R2
281,b,09:40,0.17,R3
282,a,08:19,0.07,R4
282,d,08:23,0.67,R1
282,b,09:03,0.41,R4
283,a,08:45,0.46,R4
283,d,09:13,0.53,R1
283,b,09:45,0.07,R4
284,a,08:01,0.28,R3
284,c,08:18,0.62,R2
284,b,08:55,0.24,R3
285,a,08:42,0.38,R3
285,d,09:05,0.56,R1
285,b,09:39,0.08,R4
286,a,08:13,0.23,R4
286,c,08:27,0.89,R2
286,b,09:20,0.13,R4
287,a,08:05,0.44,R3
287,d,08:32,0.57,R1
287,b,09:06,0.13,R3
288,a,08:40,0.4,R4
288,d,09:04,0.56,R1
288,b,09:37,0.17,R4
289,a,09:28,0.32,R4
289,c,09:47,0.6,R2
289,b,10:24,0.21,R4
290,a,08:09,0.35,R4
290,c,08:30,0.61,R2
290,b,09:07,0.21,R4
291,a,08:32,0.22,R4
291,c,08:45,0.79,R2
291,b,09:33,0.22,R3
292,a,08:33,0.36,R3
292,c,08:56,0.51,R2
292,b,09:26,0.22,R3
293,a,08:04,0.05,R3
293,d,08:07,0.87,R1
293,b,09:00,0.12,R4
294,a,08:23,0.3,R3
294,d,08:41,0.88,R1
294,b,09:34,0.48,R3
295,a,08:08,0.02,R3
295,d,08:10,0.63,R1
295,b,08:48,0.28,R4
296,a,09:01,0.33,R4
296,d,09:21,0.86,R1
296,b,10:14,0.38,R4
297,a,08:06,0.29,R4
297,c,08:24,0.93,R2
297,b,09:20,0.17,R4
298,a,08:02,0.26,R4
298,d,08:17,0.69,R1
298,b,08:59,0.46,R4
299,a,09:05,0.4,R4
299,c,09:29,0.92,R2
299,b,10:24,0.19,R4
300,a,09:15,0.16,R3
300,c,09:24,0.5,R2
300,b,09:55,0.12,R3
301,a,08:01,0.13,R3
301,d,08:10,0.77,R1
301,b,08:56,0.18,R3
302,a,08:00,0.31,R4
302,d,08:19,0.81,R1
302,b,09:08,0.07,R4
303,a,08:22,0.47,R3
303,d,08:51,0.68,R1
303,b,09:32,0.36,R3
304,a,08:04,0.38,R3
304,d,08:27,0.5,R1
304,b,08:58,0.17,R3
305,a,08:35,0.1,R3
305,d,08:42,0.7,R1
305,b,09:24,0.48,R4
306,a,08:02,0.17,R3
306,d,08:12,0.72,R1
306,b,08:55,0.45,R3
307,a,08:36,0.44,R4
307,d,09:03,0.94,R1
307,b,10:00,0.16,R4
308,a,08:18,0.03,R4
308,c,08:20,0.93,R2
308,b,09:16,0.2,R4
309,a,08:34,0.21,R3
309,d,08:47,0.52,R1
309,b,09:18,0.34,R3
310,a,08:47,0.41,R4
310,c,09:11,0.65,R2
310,b,09:51,0.06,R4
311,a,09:36,0.32,R4
